city_name,region_code,region_name,is_duplicate,aliases,phone_route_code
малгобек,north-caucasian_fd,Северо-Кавказский ФО,0,,
южно-сухокумск,north-caucasian_fd,Северо-Кавказский ФО,0,,
усть-джегута,north-caucasian_fd,Северо-Кавказский ФО,0,,
будённовск,north-caucasian_fd,Северо-Кавказский ФО,0,,
тырныауз,north-caucasian_fd,Северо-Кавказский ФО,0,,
прохладный,north-caucasian_fd,Северо-Кавказский ФО,0,,
баксан,north-caucasian_fd,Северо-Кавказский ФО,0,,
георгиевск,north-caucasian_fd,Северо-Кавказский ФО,0,,
назрань,north-caucasian_fd,Северо-Кавказский ФО,0,,
минеральные воды,north-caucasian_fd,Северо-Кавказский ФО,0,,
алагир,north-caucasian_fd,Северо-Кавказский ФО,0,,
ессентуки,north-caucasian_fd,Северо-Кавказский ФО,0,,
буйнакск,north-caucasian_fd,Северо-Кавказский ФО,0,,
избербаш,north-caucasian_fd,Северо-Кавказский ФО,0,,
зеленокумск,north-caucasian_fd,Северо-Кавказский ФО,0,,
новоалександровск,north-caucasian_fd,Северо-Кавказский ФО,0,,
кизляр,north-caucasian_fd,Северо-Кавказский ФО,0,,
махачкала,north-caucasian_fd,Северо-Кавказский ФО,0,,
ачхой-матран,north-caucasian_fd,Северо-Кавказский ФО,0,,
владикавказ,north-caucasian_fd,Северо-Кавказский ФО,0,,
благодарный,north-caucasian_fd,Северо-Кавказский ФО,0,,
беслан,north-caucasian_fd,Северо-Кавказский ФО,0,,
хасавюрт,north-caucasian_fd,Северо-Кавказский ФО,0,,
гудермес,north-caucasian_fd,Северо-Кавказский ФО,0,,
нальчик,north-caucasian_fd,Северо-Кавказский ФО,0,,
урус-мартан,north-caucasian_fd,Северо-Кавказский ФО,0,,
дигора,north-caucasian_fd,Северо-Кавказский ФО,0,,
грозный,north-caucasian_fd,Северо-Кавказский ФО,0,,
железноводск,north-caucasian_fd,Северо-Кавказский ФО,0,,
нарткала,north-caucasian_fd,Северо-Кавказский ФО,0,,
невинномысск,north-caucasian_fd,Северо-Кавказский ФО,0,,
зеленогорск,siberian_fd,Сибирский ФО,1,,
кисловодск,north-caucasian_fd,Северо-Кавказский ФО,0,,
карачаевск,north-caucasian_fd,Северо-Кавказский ФО,0,,
лермонтов,north-caucasian_fd,Северо-Кавказский ФО,0,,
изобильный,north-caucasian_fd,Северо-Кавказский ФО,0,,
светлоград,north-caucasian_fd,Северо-Кавказский ФО,0,,
ардон,north-caucasian_fd,Северо-Кавказский ФО,0,,
теберда,north-caucasian_fd,Северо-Кавказский ФО,0,,
кизилюрт,north-caucasian_fd,Северо-Кавказский ФО,0,,
карабулак,north-caucasian_fd,Северо-Кавказский ФО,0,,
лукоянов,privolzhsky_fd,Приволжский ФО,0,,
соликамск,privolzhsky_fd,Приволжский ФО,0,,
давлеканово,privolzhsky_fd,Приволжский ФО,0,,
орлов,privolzhsky_fd,Приволжский ФО,0,,
нижний новгород,privolzhsky_fd,Приволжский ФО,0,"[""нижний""]",
киров,privolzhsky_fd,Приволжский ФО,0,,
пермь,privolzhsky_fd,Приволжский ФО,0,,
нижний ломов,privolzhsky_fd,Приволжский ФО,0,,
азнакаево,privolzhsky_fd,Приволжский ФО,0,,
мелеуз,privolzhsky_fd,Приволжский ФО,0,,
малмыж,privolzhsky_fd,Приволжский ФО,0,,
стерлитамак,privolzhsky_fd,Приволжский ФО,0,,
лаишево,privolzhsky_fd,Приволжский ФО,0,,
козловка,privolzhsky_fd,Приволжский ФО,0,,
пенза,privolzhsky_fd,Приволжский ФО,0,,
аркадык,privolzhsky_fd,Приволжский ФО,0,,
пугачёв,privolzhsky_fd,Приволжский ФО,0,,
мураши,privolzhsky_fd,Приволжский ФО,0,,
йошкар ола,privolzhsky_fd,Приволжский ФО,0,,
кирс,privolzhsky_fd,Приволжский ФО,0,,
иннополис,privolzhsky_fd,Приволжский ФО,0,,
