city_name,region_code,region_name,is_duplicate,aliases,phone_route_code
верхний тагил,ural_fd,Уральский ФО,0,,
дегтярск,ural_fd,Уральский ФО,0,,
губкинский,ural_fd,Уральский ФО,0,,
новоуральстк,ural_fd,Уральский ФО,0,,
волчанск,ural_fd,Уральский ФО,0,,
камышлов,ural_fd,Уральский ФО,0,,
советск,сentral_fd,Центральный ФО,1,,
туринск,ural_fd,Уральский ФО,0,,
ханты-мансийск,ural_fd,Уральский ФО,0,,
североуральск,ural_fd,Уральский ФО,0,,
екатеринбург,ural_fd,Уральский ФО,0,"[""екб"", ""свердловск""]",
сатка,ural_fd,Уральский ФО,0,,
нижняя салда,ural_fd,Уральский ФО,0,,
тюмень,ural_fd,Уральский ФО,0,,
челябинск,ural_fd,Уральский ФО,0,,
тобольск,ural_fd,Уральский ФО,0,,
советский,ural_fd,Уральский ФО,0,,
кировград,ural_fd,Уральский ФО,0,,
бакал,ural_fd,Уральский ФО,0,,
усть-катав,ural_fd,Уральский ФО,0,,
серов,ural_fd,Уральский ФО,0,,
сургут,ural_fd,Уральский ФО,0,,
асбест,ural_fd,Уральский ФО,0,,
уфа,privolzhsky_fd,Приволжский ФО,0,,
невьянск,ural_fd,Уральский ФО,0,,
катав-ивановск,ural_fd,Уральский ФО,0,,
талица,ural_fd,Уральский ФО,0,,
белоярский,ural_fd,Уральский ФО,0,,
ирбит,ural_fd,Уральский ФО,0,,
нижний тагил,ural_fd,Уральский ФО,0,,
южноуральск,ural_fd,Уральский ФО,0,,
златоуст,ural_fd,Уральский ФО,0,,
касли,ural_fd,Уральский ФО,0,,
юрюзань,ural_fd,Уральский ФО,0,,
нязелетровск,ural_fd,Уральский ФО,0,,
лянтор,ural_fd,Уральский ФО,0,,
мегион,ural_fd,Уральский ФО,0,,
снежинск,ural_fd,Уральский ФО,0,,
муравленко,ural_fd,Уральский ФО,0,,
верхняя пышма,ural_fd,Уральский ФО,0,,
нижняя тура,ural_fd,Уральский ФО,0,,
ивдель,ural_fd,Уральский ФО,0,,
лангепас,ural_fd,Уральский ФО,0,,
верхнеуральск,ural_fd,Уральский ФО,0,,
югорск,ural_fd,Уральский ФО,0,,
краснотурьинск,ural_fd,Уральский ФО,0,,
магнитогорск,ural_fd,Уральский ФО,0,,
кушва,ural_fd,Уральский ФО,0,,
заводоуковск,ural_fd,Уральский ФО,0,,
нижневартовск,ural_fd,Уральский ФО,0,,
карталы,ural_fd,Уральский ФО,0,,
новая ляля,ural_fd,Уральский ФО,0,,
урай,ural_fd,Уральский ФО,0,,
качканар,ural_fd,Уральский ФО,0,,
красноуфимск,ural_fd,Уральский ФО,0,,
миньяр,ural_fd,Уральский ФО,0,,
когалым,ural_fd,Уральский ФО,0,,
ноябрьск,ural_fd,Уральский ФО,0,,
артёмовский,ural_fd,Уральский ФО,0,,
реж,ural_fd,Уральский ФО,0,,
сухой лог,ural_fd,Уральский ФО,0,,
копейск,ural_fd,Уральский ФО,0,,
куса,ural_fd,Уральский ФО,0,,
миасс,ural_fd,Уральский ФО,0,,
верхний уфалей,ural_fd,Уральский ФО,0,,
ишим,ural_fd,Уральский ФО,0,,
пласт,ural_fd,Уральский ФО,0,,
верхняя тура,ural_fd,Уральский ФО,0,,
первоуральск,ural_fd,Уральский ФО,0,,
полевской,ural_fd,Уральский ФО,0,,
ревда,ural_fd,Уральский ФО,0,,
коркино,ural_fd,Уральский ФО,0,,
фокино,сentral_fd,Центральный ФО,1,,
лабытнанги,ural_fd,Уральский ФО,0,,
чебаркуль,ural_fd,Уральский ФО,0,,
лесной,ural_fd,Уральский ФО,0,,
пыть-ях,ural_fd,Уральский ФО,0,,
красноуральск,ural_fd,Уральский ФО,0,,
нижние серги,ural_fd,Уральский ФО,0,,
сим,ural_fd,Уральский ФО,0,,
карабаш,ural_fd,Уральский ФО,0,,
аша,ural_fd,Уральский ФО,0,,
еманжелинск,ural_fd,Уральский ФО,0,,
каменск-уральский,ural_fd,Уральский ФО,0,,
фокино,eastern_fd,Дальневосточный ФО,1,,
кыштым,ural_fd,Уральский ФО,0,,
алапаевск,ural_fd,Уральский ФО,0,,
